,Author,Date,body
1027,mohd idham bin mohd nasir,2016-07-19,all asset entire world
1028,gul zaman,2016-07-19,yeah its great
1029,anil rai,2016-07-19,like it
1030,m sarfraz ahmed ahmed,2016-07-19,help a lot
1031,alexandria macias,2016-07-19,unemployed
1032,mahesh pande,2016-07-19,very useful to connect with person
1033,budi setya,2016-07-19,good aplication
1034,ranjith kumar,2016-07-19,great  
1035,zakariyah sheriffdeen,2016-07-19,it allow one to connect to several organization personnel and expert in various fields 
1036,ian fairman,2016-07-19,every time i use this it make me go through some wizard to try and get me to connect with more person and subscribe to more feeds  really put me off used it as i can t quickly dip in 
1037,mohammad al anzy,2016-07-19,the best network for employment ever
1038,davies misengo,2016-07-19,it be quite difficult to work with improve it up
1039,adebayo ashaolu,2016-07-19,in view for use
1040,johnbosco uduehi,2016-07-19,awesome n user friendly!!!
1041,punit patil,2016-07-19,goood
1042,g m  naik,2016-07-19,it s ok with
1043,merbert ancriwalli,2016-07-19,reset password then stupid captcha   win t proceed any further  then blank screen 
1044,vinay mishra,2016-07-19,vinay mishra
1045,fatima logarta,2016-07-19,useful and educational
1046,rina willemse,2016-07-19,its a battle to get in and frustrate too keep on kick out  seem to have a mind of its own
1047,priyanka salokhe,2016-07-19,nice one
1048,d'quan young,2016-07-19,great
1049,neeraj tiwari,2016-07-19,help a lot with important connections 
1050,graeme michie,2016-07-19,log me off and then ask me to identify the same picture over and over  
1051,fadi assaad,2016-07-19,it s a great and 5 star not enugh
1052,sacsan sahil,2016-07-19,i m face some glitch before enter into the pl solve the issue asap
1053,mj abadilla,2016-07-19,as an avid reader every time i return from read an article the news feed will refresh so i have to scroll back several swipe from where i left  this be really annoying and counter productive
1054,sakariye ismaciil,2016-07-19,it be very important
1055,tyler waldrup,2016-07-19,say invalid user name  but work when i get online  i try your q u0026amp a forum stuff to try and fix it  didn t work 
1056,mohamed sadiq,2016-07-19,awesome
1057,rahul prakash gautam,2016-07-19,i prove
1058,chris knox,2016-07-19,used the web site from an android tablet yield constant nagging to use the   and no wonder the get access to all your contact and mobile data  but some thing only work from the web e g  writing a recommendation  the build in browser doesn t always work either  the itself be stable and not hard to use just frustrate in its limitations 
1059,amir aslam,2016-07-19,very good
1060,ekram mohammad,2016-07-19,i love this  
1061,don patrick,2016-07-19,it s ok
1062,darren roberts,2016-07-19,can no longer get on the due to verification issues  never have a problem until recently keep ask me if i m a bot ?? uninstal
1063,naveed ali,2016-07-19,engineer
1064,jitender sharma,2016-07-19,you can grow your business here 
1065,omran gheddah,2016-07-19,i try logging in multiple time but it keep say invalid login rest my password 3 time already it work on a web browser but not on the
1066,neil mcdonald,2016-07-19,every time i try to open it i have to go through same rigmarole of bullshit  the try to connect me to this that  u0026amp  the other etc   just let me get to the feed
1067,sheikh rasel,2016-07-19,i like that
1068,ryan westenhaver,2016-07-19,as the owner of google  this be a superb lication if i do say so myself
1069,christopher gastelum,2016-07-19,dumb don t let me log on  uninstalled and reinstal four times  be able to log on through website  but stupid do not work  
1070,maria legaspi,2016-07-19,opportunity
1071,annika du toit,2016-07-19,be i the only person who think be extremely confuse and not user friendly at all?
1072,scot macneill,2016-07-19,add multiple contact to my outlook contact file  it be a nightmare to correct  delete the   love but the sucks 
1073,alicia sweat,2016-07-19,kool
1074,nurulein kadir,2016-07-19,i personally used this for a few year now and i think it be the best for professional like my self to expand there social network effectively and get acquaint with new excitingly positive and friendly members 
1075,lorenc bushi,2016-07-19,to many security question
1076,hedy botticelli,2016-07-19,take forever to load anything
1077,sarma vns,2016-07-19,very good for professionals 
1078,mahmoud nasr,2016-07-19,how to open my group
1079,marci neighbors,2016-07-19,unable to add photos  it look like it s post and then delete say unable to share post  come on!
1080,nitinash1,2016-07-18,i try logging in used my id nd password when i click submit it ask for image captcha and again go into login page  loop never ends 
1081,ravin choudhary,2016-07-18,be good but it work slow
1082,sravan kumar,2016-07-18,best in it s class
1083,divam dave,2016-07-18,it doesn t refresh even though i m connected to wifi and data at the same time     
1084,santosh chouriya,2016-07-18,good
1085,kishan rao,2016-07-18,mr kishan
1086,erin waddles,2016-07-18,be loving the the first few day i be able to use it  since then i haven t be able to get it open and it keep try to verify that i be not a robot  so sad 
1087,ade cool,2016-07-18,cy update and more !!!!!!!!!
1088,thomas justice,2016-07-18,easy to use
1089,mandla buthelezi,2016-07-18,twiter
1090,santa cierra,2016-07-18,onlyloveyou
1091,andrew esangbedo,2016-07-18,mr
1092,ajith a george,2016-07-18,good one
1093,asad ali jogi,2016-07-18,its really a nice
1094,mienakshi varanasi,2016-07-18,good to connect with person
1095,hollee jensen,2016-07-18,can t update any info at all and article be impossible to read as they keep refresh
1096,arief arlan,2016-07-18,sip
1097,shoeaz khilji,2016-07-18,it s an amazing to stay connect to right and concerned person  
1098,monika anand,2016-07-18,nice
1099,michael obayan,2016-07-18,this be a great and easy to use 
1100,manjul sehrawat,2016-07-18,i love it but the only madness be you have to pay them if you want to do anything here
1101,abdul qayyum durrani,2016-07-18,v nice
1102,modinat mosunmola olonoh,2016-07-18,work well  useful
1103,angie helgeson,2016-07-18,this doesn t have a success rate in find person work  but it will give that coworker you hate access to your social network friend and family  also it s not conducive to the visual art industry s and should host portfolio so i don t give to pay for a separate host site just to have a complete resume 
1104,petrus yika,2016-07-18,be sharp for me
1105,raj rajpurohit,2016-07-18,it provide a good user interface between the user and useful with easy interface  
1106,raj kumar pandit,2016-07-18,like
1107,suman kandoi,2016-07-18,suman jay kandoi
1108,amr araby,2016-07-18,good and easy
1109,r p  sharma,2016-07-18,too good
1110,kamal kant,2016-07-18,nice
1111,khwele muzila,2016-07-18,nice
1112,smile net local,2016-07-18,i like this pogramm because it make us get best relation ship
1113,teddy phillips,2016-07-18,keep me up to date
1114,dharm kurmi,2016-07-18,i luv this quality to connect person be simple  u0026amp  best
1115,tyda nilphet,2016-07-18,good
1116,janki nanekar,2016-07-18,the site itself be very very useful in build corporate contacts  have give us an easy platform to maneuver the site in the form of an be just icing on the cake 
1117,riyaz shaikh,2016-07-18,need for every jobless person
1118,arslan ayoub,2016-07-18,love this
1119,doubia achiri,2016-07-18,i miss my way oooooooo
1120,sunil kumar,2016-07-18,truely professional
1121,avinash verma,2016-07-18,create multiple contact and slow down my contact   fix it asap 
1122,aman sokhi,2016-07-18,see the title please
1123,pravin more,2016-07-18,older version much better
1124,james austin,2016-07-18,this should not be a site where crime against humanity be aired 
1125,mohammed usman,2016-07-18,good
1126,cynthia olsen,2016-07-18,location south florida
1127,danish hayat,2016-07-18,it be not logging and show invalid login this s be not friendly used like facebook
1128,mandeep singh,2016-07-18,i be not able to login  it be ask for verification code and each time i enter it fails  worse experience 
1129,vikas bansal,2016-07-18,after install my moto g3 have start lagging  why??
1130,rashika deivan,2016-07-18,lovely
1131,tatenda mukahanana,2016-07-18,this be very useful  i actually love it
1132,thomas yates,2016-07-18,author
1133,toufik anouty,2016-07-18,you cant creat an account until u recieve a verification code so im here ana hour later still no code and i cant use my number i dont know y?
1134,bijo bas,2016-07-18,not update my profile
1135,sainath raj,2016-07-18,after read a post come back make refresh and go to home rather than return to the actual post pls fix this
1136,sunshine beever,2016-07-18,what a waste of time 
1137,arabinda das,2016-07-18,hotel cook chef indian food and before c d p 4year10month now work german 
1138,ahmed karar,2016-07-18,useful
1139,edward johnson,2016-07-18,hey
1140,rev harriet m snowden jackson,2016-07-18,i love the variety of option for discussion 
1141,mike stephens,2016-07-18,garbage update  now login security be a bad joke impossible to do  unistal
1142,mike mishio,2016-07-18,with god all thing be possibly
1143,sobiya safdar,2016-07-18,interface need to be more user friendly 
1144,chris godfrey,2016-07-18,poor start to this experience  dl ed ask for security purpose to identify some picture result be a blank white screen  restart nothing  restart phone nothing  occur on a new samsung s4  hopefully a bug that will get resolve shortly 
1145,hendrikus bugaraya,2016-07-18,i love this lication  it help connect me with the world of hard working and inspiring person
1146,mohamed hameed,2016-07-17,dharavandhoo 
1147,sachin singh,2016-07-17,bad
1148,matthew johnson,2016-07-17,i guess we can be able to work from home if you will be my queen
1149,manish sharma,2016-07-17,super one
1150,pankaj gupta,2016-07-17,do it job   useful great interface   love this
1151,ooi eu jing,2016-07-17,it keep on ask the security check and return back to the log in page plz fix
1152,rob stitt,2016-07-17,one of the worst s i ve ever seen  not intuitive hard to get around many thing i want to do i can t  i m try to recommend a connection and add skill can t see any way to do it  there be simply no way to do anything worthwhile with this horrific excuse of a waste of storage on my phone  for something that have be around for year the incompetence of the developer be unbelievable  it be almost like they intentionally strive to limit this to utter uselessness
1153,jasmine leng,2016-07-17,whenever i pick up on a suggested article from the newsfeed the article i m read would automatically refresh and restart back at s homepage  it s frustrate read a good article midway to only get rudely interrupted 
1154,kishor khokhani,2016-07-17,like
1155,sanjay rajput,2016-07-17,we can work by honestly
1156,steven ross,2016-07-17,open to a white screen on samsung galaxy s7  this be magically fix immediately after this review bump from 1 star to 2 
1157,enzo bawn,2016-07-17,    
1158,nidhi shukla pandey,2016-07-17,liked it
1159,roa melendres,2016-07-17,love it 
1160,jayesh chavda,2016-07-17,superb
1161,lisa wayans,2016-07-17,production manager  u0026amp  master carpenter
1162,avi verma,2016-07-17,seems to be c        l
1163,archna patel,2016-07-17,very slow and impact phone performance
1164,hillary oyaro,2016-07-17,fine its interface be outstanding
1165,thomas carlisle,2016-07-17,allow you to stay connect to friend colleague and business associates 
1166,buoye moses,2016-07-17,satisfying
1167,jeina creel,2016-07-17,awesome!!!!!
1168,shadioka shiko,2016-07-17,ok
1169,khalid alghamdi,2016-07-17,arabic language be not support
1170,adam palczewski,2016-07-17,i love this and everything about   the only suggestion be that there be several li s lynda slideshow job etc   why not put them all in one super ?
1171,louie cantu,2016-07-17,one you know what about it you will love it
1172,praveen vs,2016-07-17,good
1173,jawaad asif,2016-07-17,we can t check our own post 
1174,shrijith menon,2016-07-17,awesome
1175,t saravanan,2016-07-17,develope this please
1176,j j mcquade,2016-07-17,i will have a better report soon
1177,pranav brahmbhatt,2016-07-17,success be say by only successful person
1178,prisca apudo,2016-07-17,efficient
1179,nandita tonse,2016-07-17,very nice
1180,tenghi christopher muma,2016-07-17,it be wonderful
1181,prasad padalkar,2016-07-17,excellent
1182,yisa tijani,2016-07-17,always hang when download
1183,piyush dhalawat,2016-07-17,very nice
1184,shaik nayabrasool,2016-07-17,super for job
1185,arya shankar,2016-07-17,as i be used in my laptop but this aap in mobile give quick assess with ease 
1186,angela jeffries,2016-07-17,unc ophthalmology
1187,zitaa ihugba,2016-07-17,perfect awesome
1188,marcin lachner,2016-07-17,if you want anyone to try premium you should stop make it difficult 
1189,zoi whitter,2016-07-17,great catch up with the world
1190,edi irtanto,2016-07-17,it be for the professional one
1191,george benson,2016-07-17,unable to customize my profile url
1192,john kalombo,2016-07-17,awesome  !!
1193,luz bejarano,2016-07-17,i     
1194,amit chadha,2016-07-17,good work do
1195,natasha oxenburgh,2016-07-16,rarely work crash on start
1196,kartikay garg,2016-07-16,as soon as you go to the news feed the automatically refresh the feed lead for you to continue to readfollow on some article or post that you be previously on  there should be a manual refresh option 
1197,bisi kasim,2016-07-16,i try logging in and it keep say invalid email and password i enter through uc browser and i can get in with the same password and email  have to uninstall
1198,farhad rain,2016-07-16,batter then other social network
1199,sridhar kolluri,2016-07-16,nice supar
1200,neeraj kumar,2016-07-16,nice
1201,norm mott,2016-07-16,24 hour electrical trouble shooting and complete house remodeling
1202,john kamal raj,2016-07-16,this be good however it be keep on ask to ly for premium to connect with other person via email  but really fabouls to know about corporate update and news
1203,vikas mahajan,2016-07-16,super
1204,kalanayackar appusamy,2016-07-16,useful
1205,warren pretorius,2016-07-16,will give 5 star but recently start crash stop work
1206,shivajeet mishra,2016-07-16,
1207,omowumi callista,2016-07-16,hot                                     
1208,w ahmed,2016-07-16,very very slow work
1209,samuel stephen,2016-07-16,everything you desire
1210,abhishek chakraborty,2016-07-16,connect  u0026amp  share be the moto here
1211,ishan mahajan,2016-07-16,i am not able to log in there are so many security checks    
1212,ishmael jim,2016-07-16,love it
1213,rick hamilton,2016-07-16,superintendent
1214,majd alshaikh hussain,2016-07-16, majd
1215,anshul sharma,2016-07-16,awesome
1216,shelon ford,2016-07-16,very resourceful awesome networking tool 
1217,s7er alward,2016-07-16,
1218,abhijith ts,2016-07-16,useful professional assistant  great
1219,charles ogolla,2016-07-16,cool
1220,alex ennerfelt,2016-07-16,i always find to be hard to navigate and an overall strange ux  the ui overhaul in the latest version make it a joy to use  i love now!
1221,amit kumar,2016-07-16,easy to use
1222,daniel petty,2016-07-16,i don t need an to view a web site   fail
1223,raghu ram,2016-07-16,good
1224,ramanamurty pydi,2016-07-16,excellent
1225,nu horizon,2016-07-16,it s time to introduce an option for save photo photo post directly in cellphone
1226,evans adane atta,2016-07-16,very useful
1227,md  abu zahid 0802131840,2016-07-16,it s very useful
1228,thaddeus dubose,2016-07-16,the truth
1229,bolanle ade okesola,2016-07-16,love it
1230,david heath,2016-07-16,dave
1231,ayman alzayat,2016-07-16,very bad user experience dese same as the website
1232,jos   julian vilches,2016-07-16,not even able to login with my account  thx for buy it microsoft
1233,arunkumar pullur,2016-07-16,good mobile
1234,tyesha holmes,2016-07-16,i haven t have any problem yet 
1235,shesmani dwivedi,2016-07-16,
1236,gunawan priyantoko,2016-07-16,bagus kok
1237,kalyan brata mandal,2016-07-16,excellent for professional like us 
1238,keshav paruthi,2016-07-15,it s best ever for professional 
1239,shyam prakash,2016-07-15,i be try to login from yesterday    even i can t login  pls fix it
1240,kola lakshmi ajay kumar,2016-07-15,problem to login
1241,baskoro dwi budi,2016-07-15,good laah
1242,borade kailas,2016-07-15,motog 4 
1243,james ford,2016-07-15,highly recommended!
1244,shweta bakshi,2016-07-15,get to know about many intellectual person around the world and get the opportunity to connect with them 
1245,james grisack,2016-07-15,cluttered aggressive and unfocused  disointing give the professional reputation 
1246,kevin barry,2016-07-15,love it
1247,rabab mohsin,2016-07-15,not sure if it s get anything to do with microsoft s buyout but the android have be badly lag recently  i need to authenticate my account from another machine and simply couldn t get the to send me the conformation code via text  i try multiple time and it fail miserably  major screw up 
1248,gideon kendino,2016-07-15,very very useful
1249,sunan abdul aziz darwish,2016-07-15,new connection
1250,faithful ojogho,2016-07-15,i love this
1251,lebea tebogo,2016-07-15, perfect
1252,christina ross,2016-07-15,medical secretary
1253,ogunleye johnson adebayo,2016-07-15,the be nothing but great  i love it  thank
1254,navin verma,2016-07-15,good
1255,peter burton,2016-07-15,can t log in either 
1256,moe myint,2016-07-15,grate!
1257,havidz trendy k,2016-07-15,best
1258,a google user,2016-07-15,i like it 
1259,chibuzor eleazar,2016-07-15,perfect for serious mind
1260,dimpi saloi,2016-07-15,dimpy
1261,syed muntasir yousuf,2016-07-15,better than the older version
1262,syed rasul,2016-07-15,great lication useful toll to get !!!
1263,prashant mhatre,2016-07-15,        
1264,jonny stamper,2016-07-15,networking prove quite difficult when you need to upgrade membership in order to send mail  really quite a financially focuse   regrettably have to uninstall 
1265,ross evans,2016-07-15,stop work win t let me log on  useless
1266,jibran ali,2016-07-15,awesome features  u0026amp  tips with full resourcefull people around the globe  thanks to    
1267,santosh kumar agarwal,2016-07-15,good
1268,abdulla ali,2016-07-15,very nice
1269,ajoy mozumdar,2016-07-15,project managementl
1270,wilhelm rahn,2016-07-15,i m honestly impress with this version of the   it s lean fast and even faster go use than the website  keep up the good work  bug can t comment on a group s post get error comment isn t save anywhere 
1271,mohit goyal,2016-07-15,after the current update its say me unable to load ur data  then i uninstal n reinstal  now it say invalid login
1272,godwin possible,2016-07-15,excellent
1273,ankit awasthi,2016-07-15,cool
1274,uday maurya,2016-07-15,best plateform for professional
1275,mekwi ngofes,2016-07-15,grt networking love it
1276,faisal khan,2016-07-15,great
1277,rama krishna,2016-07-15,useful
1278,greg acton,2016-07-15,news feed reset itself whenever i back out of a link i ve click on so i can t comment or like the post even if i can find it again which lately i can t until it sometimes resurface a few week later  be overall hard to use no longer functional way to quickly and easily deliberately keep in touch with business contact
1279,chotu mondal,2016-07-15,yes yes
1280,raj bawa,2016-07-15,extent job
1281,domas trijonis,2016-07-15,let me open all link in chrome by default not in the integrate one! i want to keep track of the link i open so that i can view them on desktop  don t ask me to use menu everytime just so that you can track what i view edit screen start to reload the feed after come back from comment and reset the scroll!
1282,vinod bhargav,2016-07-15,p
1283,felix nwangwa,2016-07-15,absolutely unique absolutely interesting
1284,alamin anoy,2016-07-15,easy to use and informative 
1285,prasad kanse,2016-07-15,good
1286,othmane senouci,2016-07-15,crash all the time when i switch between activities 
1287,oluwatosin oyinleye,2016-07-15,a good platform to advertise skill and professionalism to the world
1288,susan farmer,2016-07-15,love it    
1289,diana g,2016-07-15,great connections!
1290,monica cover,2016-07-15,anything be possible 
1291,wesley stokes,2016-07-15,it have a few hiccup from time to time but overall it s good 
1292,bambang soebagio,2016-07-15,nice and smart
1293,abukari prince ziblim,2016-07-14,it be spectacular
1294,ahmad iftekhar,2016-07-14,its an which i use on a daily basis  
1295,marcel botezatu,2016-07-14,professional and excellent value 
1296,ricky osayande,2016-07-14,love it
1297,preeti kalra,2016-07-14,great way to stay up to date and connect the latest stuff hening in your professional network
1298,bianca johnson,2016-07-14,nice great for business networking and keep up!!
1299,marius klaasen,2016-07-14,linkefin
1300,zainarb hanna,2016-07-14,effective service 
1301,sintu alam,2016-07-14,        
1302,gez fry,2016-07-14,this work great for me
1303,hasibur rahman,2016-07-14,very good perform
1304,rohit bhokare,2016-07-14,better than before
1305,adeyemi oluwagbenga,2016-07-14,i love all the here they be superb
1306,anabo swu,2016-07-14,cool
1307,santhi babu,2016-07-14,time to time update information and keep the contact very nice
1308,ahmadraza abdi,2016-07-14,it display a security check and it give me again and again the same security check
1309,vee gean,2016-07-14,good on a professional standpoint  can also help job seeker find employment 
1310,don pulubi,2016-07-14,                   
1311,pavan mishra,2016-07-14,nice
1312,albert james licup,2016-07-14,when ting on jobs  please fix asap!
1313,salamboye pharmaherb company,2016-07-14,i love it for good connection to world people 
1314,okki kusuma,2016-07-14,nice
1315,santosh kumar,2016-07-14,good to connect with fraternity industry expert new opportunity
1316,juliusz switlik,2016-07-14,a great proffesional social tool
1317,chinmay vad,2016-07-14,be tha really an update? not even able to chane my profile pictureget lag lot of improvement require pl fix it
1318,khalid j khan,2016-07-14,great platform for professional interaction
1319,philip iwobi,2016-07-14,an excellent lication
1320,mani sankar,2016-07-14,it be more useful in our life  
1321,tabah edi prasetyo,2016-07-14,nice but i can t request to join in group i just can join with several group 6   need your help because this be amazing please
1322,gaurav shah,2016-07-14,good
1323,kathryn draper,2016-07-14,be there a reason why the update i be force to accept this morning have crash the in its entirety? fix it please
1324,virendra singh,2016-07-14,it be awsome
1325,prashant tripathi,2016-07-14,its always ahead
1326,salum kapona,2016-07-14,hi to all team 
1327,jude och,2016-07-14,great
1328,darryl j  holliday,2016-07-14,love it i stay connect
1329,thallapalli baji,2016-07-14,baji
1330,shankar vastrad,2016-07-14,excellent connect
1331,dipanker dutta,2016-07-14,well do we have an alternative !
1332,faisol ahmad,2016-07-14,yes
1333,nanda kumar,2016-07-14,just i have update to android but the performance be very slow but i like the look why can t i save the picture while browse on phone?
1334,vinayak wagh,2016-07-14,crash most of the time while view job description 
1335,srinivas r,2016-07-14,m
1336,syed qaiser alam,2016-07-14,good job
1337,craig stevens,2016-07-14,keep repeating same cycle during loginendless loop 
1338,mahesh bc,2016-07-14,ok
1339,suraksha groups,2016-07-14,it be very good manpower
1340,robin b,2016-07-14,no use downloading this  when i m on the site it keep ask me to download the even though i already have it   when i launch it almost everything be completely the same as the mobile site
1341,alam khan,2016-07-14,nice
1342,simon phoenix,2016-07-14,s see some improvement nothing much to moan about other than it switch off its notification by itself?
1343,ruma mondal,2016-07-14,ok thank for your time
1344,zeeshan ahmed,2016-07-14,look for copy option to copy text asap
1345,paul chinedu,2016-07-14,i love it
1346,abiola adebanjo,2016-07-14,this doesn t just connect you to friend it connect you to person who can change your working status
1347,dr vk bansal,2016-07-14,superstar
1348,jesus jr casim,2016-07-14,thank
1349,ashoor ahmed,2016-07-14,there be a serious problem in logging in ! it show invalid log in while i m sure the password be correct i come to know many user with non english interface in their mobile face same problem 
1350,jeanne sims,2016-07-14,admin asst  1
1351,anthony baidoo,2016-07-14,good job
1352,shersingh gorkha,2016-07-14,easy to update info  easy to use  very useful for build relationship 
1353,noor aldeen hussein,2016-07-14,helpful
1354,godwin okorie,2016-07-14,this suddenly start ask me to change my password each time i try logging in  do that thrice already today and i give up 
1355,mateusz drab,2016-07-14,can you stop ask me to sign in every few day and remind me to send you all my contact every 5 minutes?
1356,aaron rothe,2016-07-14,just another social medium
1357,fernando salazar,2016-07-14,trinity contractor group llc
1358,pankaj rai,2016-07-14,thank
1359,ice chainz,2016-07-14,how do yu do this
1360,jesni mohamed,2016-07-14,good
1361,sabrina kenneybrew,2016-07-14,pct
1362,cosam mulisa,2016-07-14,i can t apload a profile picture it can t finish the submission process please fix it 
1363,mark r steinbach,2016-07-14,stay stable and show what person i know be up to  and be great for see experience person have too!
1364,addy k jackson,2016-07-14,this be so great
1365,chelimo kirwa,2016-07-14,get lot of opportunity here love it
1366,golam rahoman roky,2016-07-14,awesome
1367,steny simon,2016-07-14,good 
1368,fawwad baig,2016-07-14,very useful and easy to use interface but lack sometimes  please fix
1369,syed hydari,2016-07-14,good working at all no hang issue
1370,dwayne arnold,2016-07-13,best way to socialize with no expectations 
1371,shyama sharma,2016-07-13,goooood
1372,b e duto,2016-07-13,social platform for professional
1373,probodh goswami,2016-07-13,up to date information through professional leader  
1374,pankaj thakur,2016-07-13,nice
1375,charanjit kaur,2016-07-13,excellent very good for professional level
1376,jackie pogue,2016-07-13,first time user
1377,shangavai pa,2016-07-13,
1378,rajan iyengar,2016-07-13,i like indiamart and the service
1379,joeja manman,2016-07-13,use pin securely provide by several times  doesn t work 
1380,shonette rose,2016-07-13,hairstylist
1381,gerald sahd,2016-07-13,thank for get hack now your new security freeze the  
1382,felix barela,2016-07-13,owner
1383,jorge avila,2016-07-13,opportunity to everyone to win this be that everyone need
1384,awadhesh yadav,2016-07-13,good
1385,shamim ahmed,2016-07-13,less job suggestion only10   job page be not open sometimes  lie job be not easy like one click in some cases  more job parameter in global market should be disclosed  thank you
1386,maggy mwangangi,2016-07-13,excellent liked it
1387,anand sahu,2016-07-13,we enjoy lot with we expand our business on this
1388,mac suthar,2016-07-13,not bad
1389,ayham adib,2016-07-13,university hospital
1390,earnest nyezana,2016-07-13,loving it
1391,lalit kumar,2016-07-13,after every few day stop work i cannot load new feed om home page can t view any notification or read any mew message as well  and moreover its stop unfortunately too 
1392,vinayak sulakhe,2016-07-13,it s awesome opportunity!
1393,muusa ali,2016-07-13,its very good
1394,naveen goyal,2016-07-13,how to disable vibration    it disturb many times    
1395,javid ahmad,2016-07-13,since i download it give message   sorry we be unable to load your feed   try again 
1396,sanket sharma,2016-07-13,a professional network in hand  wish friend with proper message templates  
1397,jagadish m,2016-07-13,nice     
1398,kumarakannan p,2016-07-13,good
1399,shyam agarwal,2016-07-13,used this be really pain in the 
1400,samudra hendra,2016-07-13,very good
1401,shivaji biradar,2016-07-13,thank
1402,rami sobh,2016-07-13,great
1403,sen amaiti,2016-07-13,have the worst interface and function of any social medium even worse than the failed google   and the be even worse 
1404,oliver mandisodza,2016-07-13,excellent
1405,jadal show,2016-07-13,
1406,waqas aslam,2016-07-13,love it
1407,anunay mitra,2016-07-13,keep develop the regularly
1408,akhil venugopal,2016-07-13,good
1409,ali raja,2016-07-13,very nice 
1410,rooks talha,2016-07-13,ala
1411,munawar iqbal raja,2016-07-13,excellent
1412,nikhil sojal,2016-07-13,nikhil
1413,onkesh khadekar,2016-07-13,it help s to find the career path  
1414,tim tymchyshyn,2016-07-13,take forever to open with 34 of the time not responding  find myself used the desktop more than the
1415,inayat hafeez,2016-07-13,hi everyone   from 3 day i m get problem with when someone send invitation request to connect with me i receive a popup msg but when i open the and check invitation i find no any invitaion??????
1416,jawad rehman,2016-07-13,
1417,jit sarver,2016-07-13,jit server sidhu
1418,lance cruise,2016-07-13,very helpful 
1419,mark blitz,2016-07-13,i feel like i m used 2 different s simultaneously it never seem to go where i need to go or do what i need to do  go for now 
1420,somesh kamalanathan,2016-07-13,nice one
1421,sayan biswas,2016-07-13,great
1422,tahir daud,2016-07-13,be be wonderful so far
1423,vice m p p mahender reddy,2016-07-13,great
1424,daniel ng'ona,2016-07-13,amazing
1425,agus riansyah,2016-07-13,stick in sign in page u0026amp quick security check if u can help me i ll give 5star
1426,bibsy thompson morrison,2016-07-13,linkedln
1427,mahesh chandra,2016-07-13,very good
1428,yuvakumar mummadi,2016-07-13,great !!
1429,rajender singh,2016-07-13,ouner
1430,anzeal tomas,2016-07-13,nice   it s really help professional individual in their career especially in their personal growth 
1431,santosh pise,2016-07-13,santosh
1432,lou martinez,2016-07-13,ok
1433,tirth shah,2016-07-13,this be awesome but sometimes it crashedplz fix the bug as soon as possible
1434,edith pratt,2016-07-13,after school care
1435,nishant jain,2016-07-13,best
1436,neeraj naik,2016-07-13,gr88 work
1437,palamkandy mithun,2016-07-13,cluster head
1438,sanjay kumar,2016-07-13,easy  
1439,mohamed osman,2016-07-13,very strong
1440,m  facchini,2016-07-13,huge waste of time  everytime i want to access from android it send me to download the   i download the and there i m stick in a loop between the log in and the security check!!!
1441,saurabh mishra,2016-07-13,great
1442,mohd hanif khan didwana,2016-07-13,mhk
1443,pavan r chawla,2016-07-13,doesn t share from social sharing plugin in oxygen 13 3 1
1444,sajan kumar g sajan kumar g,2016-07-13,7696
1445,mohammed ajeem,2016-07-13,nice
1446,harish kumar,2016-07-13,i want to give a recommendation to my colleague but there be no option exist to edit or to type  i have to cme back to website again 
1447,martin anthoni,2016-07-13,it be a good idea for me to do with my new email
1448,arvind mohile,2016-07-13,healthcare mgmt consultant
1449,dharampal chauhan dharampal chauhan,2016-07-13,dharampal chauhan
1450,syed mahboob hussaini,2016-07-13,very nice for professional
1451,mohd faizal,2016-07-13,a very good platform to connect with professional around the world
1452,sunil sreedharan,2016-07-13,thank
1453,scott p brown,2016-07-13,awful awful awful cant find endorse contact the seperate box for update be distract no group sync what sync? just hate it  daily user here and part of my entire business practice trashed  take a lot for me to be critical of an and i understand development issue but this be absolutely terrible  if a third party firm be hire to develop this terminate the contract of the smartest thing can do  this be not only ugly but it be not very useful 
1454,howard tarler,2016-07-13,too many permissions 
1455,mahmoud bmw,2016-07-13,very very
1456,erin palmer,2016-07-13,have everything at my fingertip and easy to navigate thru 
1457,yut mei tang,2016-07-13,gps practitioner
1458,jacek modrakowski,2016-07-13,not usable after last update  google play service crash all the time 
1459,cara dunne,2016-07-13,mrs c  dunne
1460,ayman eldsouky,2016-07-13,nice
1461,amjad pasha,2016-07-13,nil
1462,marizz batiforra phd,2016-07-13,the no 1 professional network!
1463,david everist,2016-07-13,this have be helpful
1464,victory omar,2016-07-13,i love it  it s unique 
1465,jagannath dora,2016-07-13,great tool for networking
1466,nitin tayal,2016-07-13,it allow to see every possible job opportunity 
1467,same haddad,2016-07-13,good
1468,plsasl 16,2016-07-13,very nice
1469,sarah gilbert,2016-07-12,i don t know endorse me for thing they have no clue about whether or not i m good at it? in other word how do i know if someone else be any good at what this site claims!?
1470,ashutosh hellboy,2016-07-12,whenever i try to update the profile it fails  whenever i try to do something it fails  so much failure  the be a failure
1471,srinivas sarma,2016-07-12,good
1472,tyrone pierce,2016-07-12,very helpful have account
1473,lalit singh,2016-07-12,fantastic mn
1474,raj ganesh,2016-07-12,time be precious 
1475,duncan kamau,2016-07-12,like
1476,joanna roetling,2016-07-12,my own business inspiration on this site 
1477,kyle jones,2016-07-12,very easy to use
1478,ruth g,2016-07-12,everytime i want to share some article i get an error message that unfortunately the stopped 
