,Author,Date,body,Class
287,greg sutton,2016-07-27,doesn t see wifi network,1.0
288,scott eddy,2016-07-27,after latest update while cast the sound go out  very annoying  all my s that run through cast can t all be at fault ,
289,omala abrol,2016-07-27,a really good and easy to follow ,
290,  kos melczer,2016-07-27,work as described  easy to use ,
291,tom  s papi,2016-07-27,cada vez que me llega un mensaje de telegram se detiene lo que estoy viendo en youtube y vuelve al minuto 0  es muy molesto  adem  s hace falta compatibilidad con much  simas cosas m  s  no se puede transmitir contenido local  google nexus 5,
292,mike haar,2016-07-27,thank you,
293,rob hellmig,2016-07-27,always crash need reset both my tablet and my phone have trouble run the   i feel scammed  i want my money back  for a google product this be complete garbage ,
294,marissa mitchell,2016-07-27,amazing and awesome love chromecast,
295,matt bailey,2016-07-27,best one to use trust me  just get to reboot ever now an then ,1.0
296,laurence taylor,2016-07-27,when it work its excellent but all to often the tablet i ve try several can t find the google receiver even though it s hliy display still to the tv,
297,brian munoz,2016-07-27,it just works ,
298,jimmy ting,2016-07-27,work great with netflix and other s  used to work with html5 and other but no longer does ,
299,renato alejo,2016-07-27,work wonderful ,
300,keara dorea,2016-07-27,it win t cast my android screen,1.0
301,james mcmillan,2016-07-26,don t know why google can t leave stuff alone this work great now can look at anything other than the cast without it crash,1.0
302,jeremiah abraham,2016-07-26,,
303,diane silver,2016-07-26,stream seldom works  tried everything suggest but still have trouble  would not recommend this  ,
304,jesse garza,2016-07-26,hdmi right on!!!,
305,jaspal singh,2016-07-26,after the marshmallow update it s not detect chromecast while my other device such as window can,1.0
306,britta rubble,2016-07-26,this be so large there be nothing i can delete that will allow my phone to download it  i buy a chromecast with my own hard earn money and i can t even use it  novel suggestion! if you make a television compatible device make it with a goddamn remote just like everybody else ,
307,charlene hibbard,2016-07-26,1964 blue record of high heeled sneakers ,
308,nicholas lee,2016-07-26,do not work with roku,
309,brendon f,2016-07-26,i have bring and run it for a few day now and it run sweet as and no problem so i be really pleased with it should have do it month ago ,
310,danielle zara kenny,2016-07-26,great but for some reason it no longer ears in my notification bar             which means i can t pauserewindskip anything which is really annoyingespecially when i need a toilet break  at least it used to show up most of the time now it doesn t at all ,
311,midge ers,2016-07-26,the cast screenaudio function be completely break for me  no problem with internet connection as netflix and youtube work perfectly  every time i try to use this function the video stop playing while the sound continue or both stutter continuesly  it used to work better before the last update but still want great ,1.0
312,david pinto,2016-07-26,excellent,
313,sony sezal,2016-07-26,great but some time i cant connect my phone or tablet to it,1.0
314,adriel skylan scott,2016-07-26,when it can cast kodi i will download it,
315,adam magruder,2016-07-26,with new hardware and 5ghz wifi the device truly feel mature  great job!,
316,meg tyrrell,2016-07-26,make watch tv and netflix so much easier,
317,lade i ,2016-07-26,i previously love this  however it no longer cast on the screen  it say it s casting but it be not   please fix,1.0
318,mowliid muse mmc,2016-07-26,best l,
319,robert ejr ,2016-07-26,work great,
320,luis nido,2016-07-26,work great on windows 7 pro laptop upgrade to window 10 pro now cannot find chromecast devices  ,1.0
321,fridrihs redstoner briedis,2016-07-26,you can already doo his fin,
322,emmy buyoya,2016-07-26,great,
323,craig duff,2016-07-26,very good work on samsung a5 keep up good work,
324,kyrice johnson,2016-07-26,this be a great to have,
325,jeremiah abraham,2016-07-26,useful to me this rock the only problem be that it doesn t play certain movies?,
326,esteban torres,2016-07-26,why do we need wifi,1.0
327,charlene kate galang,2016-07-25,,
328,christian peralta,2016-07-25,the program lag and disconnect all the time ,1.0
329,diana avila,2016-07-25,can t imagine my life without it!,
330,andrew henrich,2016-07-25,can t figure out why it work one moment then the next time win t  just get a smart tv,1.0
331,lora atkins,2016-07-25,love it,
332,that girl in the vanilla jacket,2016-07-25,totally awesome,
333,jim bennett,2016-07-25,all the problem i ve have be internet that bng say the chromecast be a decent dvice how evr from wat i ve say bout internet u bttr hav a strong high speed connection or else the dvice be useless now on to sumthng i d like to c wit cast tru digital audio would b nice  u0026amp  more s  u0026amp  game since my internet tech upgrade i enjoy cast it come in handy jst like to c improve audio function  u0026amp  game cast other then that decent  u0026amp  sumtime useful,
334,marksmen,2016-07-25,help me make youtube videoa,
335,juan andr  s del moral,2016-07-25,i have a note 5 and a s tab that both have the smart remote already on the phone  i use it more than i use my remote  the problem be when i can t somethin to the tv the remote will automatically change channel or source or the menu screen will come on  this be very frustrating and be start to piss me off ,1.0
336,naveen khurana,2016-07-25,not even connect,
337,nam man,2016-07-25,photo slideshow speed be slow,1.0
338,ricardo perez,2016-07-25,i have this device since 2013 the original and it have be work amazing not even a slight hiccup or anything  would totally recommend this to anyone,
339,beth faughnan,2016-07-25,every tv show i use be not available in this chromecast   cause me to have to get out the laptop  really wish usa freeform etc be available,
340,lad back,2016-07-25,love it very much  thanks ,
341,jeff christian,2016-07-25,what work with my samsung galaxy 4 waste of money,
342,heba hamdy,2016-07-25,cast screen function not work from galaxy tab a other function be ok,1.0
343,gymnast life,2016-07-25,love it,
344,debbie brayshaw,2016-07-25,why will this only work on my samsung tablet ?it wont stay connect to my samsung phone an win t connect at all to my laptop or kindle please help   ,1.0
345,jake smith,2016-07-25,lg v10  google cast keep disconnect and i can t control what i m watching ,1.0
346,ken hay,2016-07-25,cast movie from samsung note 10 1  the be great but a big but the sound and video be not in sync sound ahead of the lip by maybe half a second  un watchable i be sorry to say  it have not improve since i complain about this a year ago  10m customer and you googler should fix it ,1.0
347,kevin cates,2016-07-25,used to work pretty good  now only work with youtube  hulu can t find the device  can t cast the desktop  no s what so ever  except youtube  screw this  more headache than it s work  by the way i m used a chromebook ,1.0
348,ashleigh sutton,2016-07-24,the cast screenmirror option rarely works  it used to work great but with recent upload it hardly ever work properly  will kick you off randomly end the cast when you navigate away from google cast   i would rate higher if this be fixed  i feel it doesn t do what it advertise where screen cast be concerned  all else work fine ,1.0
349,jackie ziembo,2016-07-24,chromecast work great and then after an update and the change to it rarely work anymore,1.0
350,beverly barela,2016-07-24,love it,
351,tony smith,2016-07-24,i can no longer cast from within s  only screen mirror works  youtube netflix etc no longer have cast icons ,1.0
352,kevin steffler,2016-07-24,the thing be work completely fine one minute but then decide that it didn t like my phone or router because it refuse to connect to both even though i m putt in the correct wifi password ,1.0
353,warwick lab,2016-07-24,my cast button do not pin on the drop down menu and whenever i chromecast it come and goes  please reply to help me to get this working,
354,deepika dessai,2016-07-24,disoint,
355,nabil hijazi,2016-07-24,nabil hijazi,
356,wilson santiago,2016-07-24,chromecast keep lose connection when watch a movie  very frustrating!!!,1.0
357,len machalik,2016-07-24,great device and combo!,
358,hannah reeves,2016-07-24,i love chrome cast  i m able to cast whatever be on my phone to the big screen   i ll definitely buy more for my other room  ,
359,jim m,2016-07-24,samsung edge s7 win t cast internet video or hbo go whereas it use to be able to and it use to work great and now something prevent it  cast screen icon be no where to be find from where it be previously   cast screen still work with google owned company like youtube free trade violation? my old samsung galaxy s5 phone doesn t have any of google s update and it still cast everything to tv  recent update have make chromecast useless don t buy a google chromecast  ,1.0
360,richard wiecker,2016-07-24,add the ability to stream the same content across all chromecast device without used a pc  secondly add a hd fm tuner to future device,2.0
361,nathaniel wolf,2016-07-24,i m constantly have to restart my phonereset the chrome cast  pretty much anytime the device have be in standby when i get to connect it connect but when i try to stay medium through youtube it will just stay stick on connecting  i ve see it to this with sotify as well but the as about all i use with my chrome cast  i don t use netflix anymore but when i do use it a few month ago i didn t really have these issues  also should be note that this start hen on the version 2 chrome cast ,1.0
362,nereyda jimenez,2016-07-24,keep wait for a glitch because it be only  35 but no it be awesome!!!!,
363,analy productions,2016-07-24,35 dollars just to turn on you tv?!??might as well just get your remote for free!            ,
364,megan escobar,2016-07-24,the only it s support now be youtube  no cast icon in google play netflix hulu hbo etc  not worth it ,1.0
365,qaaron murdock,2016-07-24,super convenient  great for if you don t have cable  easy travel  right from your phone!,
366,nathan markham,2016-07-23,shift it docent work on my tab fix or no star,1.0
367,joe williams,2016-07-23,a full screen ad randomly pop up during setup be very intrusive unintuitive and a big f you to your users  bad google ,1.0
368,kevin hopper,2016-07-23,for be the main for chromecast and be a google much improvement can be make specifically the cast screen option  between the constant lag and buffering i be on the verge of turn green and hulking out! please fix and you will get 5 stars  have same problem on the last 6 different phone i have own so i know it s not a device issue  come on google you can do it  u0026amp gt  i believe in you!,1.0
369,ar co,2016-07-23,never work when i want it to waste of money,
370,joe carroll jr,2016-07-23,love it work well,
371,ali ali,2016-07-23,dear developer i have xperium c5 ultra and google chromecast 2 but my screen cast be very low quality please hep,
372,shilpa aarohi,2016-07-23,what hepend i canoot cast my mobile samsung note 5 y i dont cane help me some1,
373,monique mcdowell,2016-07-23,i love this one of our family favorite past time,
374,pete rushton,2016-07-23,cannot cast as the connection keep drop or it win t even connect to my chromecast device  very very annoying ,1.0
375,simon barton,2016-07-23,beware of overheat with the second gen chromecast  i have this problem start today and although audio still work video go to black screen with no visual output if the device get too warm  i ve have to solve it with a desktop fan blow on it on very hot days ,1.0
376,jason contreras,2016-07-23,it be work great before the update now i can t cast anything and it win t connect to my wifi i lie it do connect then it lose signal fix this crap! i be really enjoy chromecast with my family and kid,1.0
377,griffen ellington,2016-07-23,audio go in n out please fix,1.0
378,alicia calderon,2016-07-23,work well with all my device,
379,terry chang,2016-07-23,i always have to reset up my device or have to delete my and re install in order for it to work      ,1.0
380,scorpio king,2016-07-23,i didn t like the fact that i couldn t connect to my xfinity wifi to connect to my chromecast device ,
381,gads albani misah,2016-07-22,its good to watch video and etc   hehehe,
382,hayden de dulin,2016-07-22,love chromecast  since last update it have be buggy  please fix,1.0
383,saoirse o' dwyer,2016-07-22,so i ve have my chrome cast for around 6month when i first have it it connect perfectly it be fantastic but slowly it start bugging drop connection or not connect now it s completely stop working be say it s stream but nothing ears on my screen i love google product but i m seriously disoint with this!!,1.0
384,shaphan binns,2016-07-22,google cast,2.0
385,sean page,2016-07-22,be excellent now i ve get 5ghz broadband the chromecast will not connect now completely unusable  ive try go back to 2 4ghz no good either  be there a fix come or should i put it on ebay?,1.0
386,te groghan,2016-07-22,after all this timejust not enough sso much potential and fall so shortsad  google fall flat on its face on this one ,
387,bryan bayless,2016-07-22,great for use with almost any video media  and if the player in question isn t set up for google cast most device have a cast screen option  better than roku for versatility,
388,craig domney,2016-07-22,it no longer casts my phone?? used to be great now its awful     ,1.0
389,michelle randolph,2016-07-22,i pay every time for the just dance and it s always freezing  i truly feel like a refund be necessary   google cast be bs,1.0
390,sammy parham,2016-07-22,after go through the initial setup my device can no longer pick up my chrome cast,
391,purple diemond,2016-07-22,love it work perfect,
392,betty gulliver,2016-07-22,bate motel,
393,c  dric walter,2016-07-22,really great stream device have 4 of them!,1.0
394,djordje rodriguez,2016-07-22,for something that small and with such limited used it can only be classify as an expensive gadget  there be really little you can do with this and while if like me you buy the item for just the one reason then that s fine but don t be hope to get mich out of it without have to pay for many different service every month ,1.0
395,bo qbqb,2016-07-22,after the new update it stop working and give this error you chromecast be manufacture for a different country   in your update you say bug fix and performance improvement !!!,1.0
396,jonny nemonic,2016-07-22,it s worth what it costs  nice for project phone screen onto a larger monitor be a smart tv isn t available ,
397,lamont rollins,2016-07-22,this sucks  chromecast doesnt work,1.0
398,kirsten moy,2016-07-21,randomly lose connection and video continue to play but i can no longer control it ,1.0
399,simon griffiths,2016-07-21,purely random if it work with chromecast audio  used google play music it connect but then all i get be an error state it can t play the request track  stop cast plug the tablet in to the cable via the headphone socket no error play fine only get it when i try to cast which be the whole point  very frustrated ,1.0
400,roger pfeifer,2016-07-21,can lay in bed and watch anything i want and don t have to get up to change the channel,1.0
401,melanio pech,2016-07-21,best to pair with chromecast  turn your tv into a smart tv,
402,veredexplorer,2016-07-21,i can literally mirror everything from my phone onto the chromecast without any lag as well!,1.0
403,michael bornhoeft,2016-07-21,doesn t work say it be all hooked up then it wouldn t link up,1.0
404,jake currie,2016-07-21,last time i used this i spend more time reconnect my device to the tv than i do watch my show,1.0
405,blake fitzgerald,2016-07-21,control in the notification panel keep disearing  if you wait a little while after play anything you lose the ability to control the playback  reopen the doesn t resolve it and you must resort to used this to control  even that be limit to pause and stop  very very frustrating ,1.0
406,stephanie pfaff,2016-07-21,i keep have to unplug and reset it so i can change what i m watch or where i m casting from ,
407,hamied sanie,2016-07-21,good,
408,francisco duarte,2016-07-21,not work with update version of netflix please help,1.0
409,jose ramirez,2016-07-21,sida,
410,izzy g,2016-07-21,never work on my tv,
411,bhavesh sukhani,2016-07-21,connect or disconnect automatically,1.0
412,henok tesfaye,2016-07-21,it s suck if i can t connect to the near by devices  it suck,1.0
413,adrienne buildourown,2016-07-20,i don t want to download s to my phone to be able to watch tv that s what remote control be for  i m return it back to the store because of it ,1.0
414,jacq ramos,2016-07-20,hard to use  cant cast to my tv while im used my samsung j5  i think this be useless,1.0
415,steve carroll,2016-07-20,this be a 5 star i even get one for my mother after i try it  it be dependable and it work as advertised but it suddenly stop work after the june update  the chromecast be not recognize in the so mirror be impossible and it would only stay connect in other s like netflick for a few minute at a time  when i try to set it up again the would not recognize the device so now it do not work at all  the one i get for my mom have the same trouble  we miss our netflicks!,1.0
416,raymond blake,2016-07-20,buy for travel win t work in hotels  and i can not slect episode any more  get a hdmi and don t waste your money on this,
417,jessie reed,2016-07-20,do this work with htc desire 626s ???,
418,keith pearson,2016-07-20,used original chromecast then use older version because this one suck and freeze constantly during setup and fail to find device or loose connection constantly ,1.0
419,anthony smith,2016-07-20,all lock up to google device only  win t work with any generic standard or devices ,1.0
420,annmarie murray n  e reaney,2016-07-20,i actually don t know whose fault it be but when i try to connect to bbc iplayer 70  of my time be work through glitch start restart rebooting  buy an amazon fire stick last week and that s become my go to medium friend  my chromecast may not get used at all soon  please sort it out  i have the old chromecast,1.0
421,triyansh chouhan,2016-07-20,superb,
422,alba de angeli,2016-07-20,under normal circumstance i would rate it as a 5 as i love that i spend 40 buck and didn t have to buy a new tv to connect to thing like netflix and stan  but in the last week or so i can t connect netflix to my chromecast through my tablet or handset it just craps itself but stan works  no this isn t a geoblocker proxy error courtesy of netflix it try to connect but just kind of give up be this an update thing?? it work fine a couple week ago  help! or sort out the last update,1.0
423,mojanggamer 209,2016-07-20,why doesnt it work for my device plz put its available for asus phone plz,
424,katie lu,2016-07-20,ever since the last update my phone win t connect  please fix this!!,1.0
425,bill ewaniuk,2016-07-20,really nice live it,
426,fred scudgins,2016-07-20,waste of money ,
427,thomas bowman,2016-07-20,i have a perfect wifi signal and it still doesn t work  worst money ever spent  if walmart would accept electronic to be return i d return it and get my money back  this be b s ,1.0
428,isaac conejo,2016-07-20,its not bad,
429,naif al haider,2016-07-20,i like it actually it s easy and simple i advise every body to use it  ,
430,meg mak,2016-07-20,cast feature be not working  it wont find device to cast or connect to ,1.0
431,joshua aguiar,2016-07-20,turn any tv into a tv vhs player combo but better because more tapes ,
432,michael williams,2016-07-20,awesome lication for an awesome device  best  35  ever,
433,brittany sheffield,2016-07-20,wish they have a remote with it but it s awsome,
434,cindy o,2016-07-20,win t even download ,1.0
435,a google user,2016-07-20,just works!,
436,kenya branch,2016-07-20,doesn t give the option to cast from samsung 8 1 tablet why? please fix thank you,
437,edwin sanabria,2016-07-20,do the cast screen not working have to do with the wifi right? just ask,1.0
438,ridge winters,2016-07-19,the only caster you need,
439,george vasquez,2016-07-19,good for chrome,1.0
440,m qian,2016-07-19,doesn t work without an internet connection!!! this be poor backward thinking! the hardware and sofor the winare can all work perfectly over wifi without an internet connection  why why why do you force it to maintain one??? please don t follow le s lead to dictate ridiculous limitations  there should be no need for you to need to have any internet connection let alone a constant one  this be so limit cripple my  58 purchase of a new chromecast into something that be only worth about  15 to me ,1.0
441,keith cooks,2016-07-19,i love this chromecastthank you,
442,ben phelps,2016-07-19,amazon fire tv stick be a much better option,
443,jean michel heurtau,2016-07-19,up till recently it work on many site but in last few week chromecast icon have diseared  why? force to use mirror mode which be slow and cumbersome why?,1.0
444,nazmul9 hasan9,2016-07-19,m,
445,moh'd zuabi,2016-07-19,best ever,
446,joel suydam,2016-07-19,fail to stream  used to work flawlessly but now it s in an endless loop of try to connect ,1.0
447,beastmusicfx,2016-07-19,have an htc desire 626and give me the option to cast screen but win i do it disconnect from the chromecast,
448,saurabh singh,2016-07-19,it allow us to connect with two more tv s but the audio be not enhance and sometimes it give us delay of about 5 6 sec,1.0
449,sherif mohamed,2016-07-19,be there a way to select resolution of youtube video while play on chromecast ? for example i want to select 360p instead of 720p or 1080p for a video while play on chromecast to decrease buffering period but i can t find such option,1.0
450,michael jordan,2016-07-19,great ,
451,korinne silva,2016-07-19,i really love this,
452,thomas belcourt,2016-07-19,gt,
453,james snider,2016-07-19,i no longer can mirror from my tablet or phone  what be the problem,1.0
454,nathan myers,2016-07-19,very disoint with google  i have a gen one chromecast and with the new update it have lose all ability to connect  now some have say it be the internet but don t be fool it be not your internet my chrome cast find my wifi just fine and my phone be clearly connect but the won t find my chrome cast   if google be go to pull crap like stopping support for older model in a bid to sell the new ones   well i may have to switch to le ,1.0
455,johnny blackhawk,2016-07-19,it s good but every time there be an update it mess it up fix the problem and stop mess up the cast when it be work fine in the last update,1.0
456,chris c,2016-07-18,either fire your qa person or get your act together  all recent google update have break all functionality!,1.0
457,mike coles,2016-07-18,update volume control no longer works  why remove functionality or allow your partners to? also why not allow for directly entering the ip information in the clients   having to be in the same broadcast domain is windows bs from the 90s  if ms finally figured it out you can as well    original please allow the to function when the phone is providing wifi for other devices ,1.0
458,juan vargas,2016-07-18,disconnect randomly,1.0
459,jasmeet singh,2016-07-18,my mobile lication cannot find any chromecast device while on the tv screen my chromecast be show set me up be it the chromecast device or the please reply asap i have be see this trouble since past 7 month ! my chromecast work only once ! please do something while you can !!!!,1.0
460,jarett martin,2016-07-18,you have to exit and close the youtube around five time before it will connect ,1.0
461,randy mays,2016-07-18,cast my phone screen nolonger work all other casting unaffected,
462,cedric van goethem,2016-07-18,crash a lot,1.0
463,nihal chowdhury,2016-07-18,this be epic because i go to my neighbour house and it work so well make and this get an f like on test for fabulous ,
464,derek walker,2016-07-18,i have the older generation chromecast and it used to work perfectly  since the last update it s have problem connection to the device  i ve try from my android device and my computer and it doesn t work well at all  please help google!,1.0
465,launa mcdaniel,2016-07-18,it be the best ever!!!!!!!,
466,david smith,2016-07-18,all of my device lose the ability to connect to any of the three chromecast i have in various rooms  almost daily i have to reboot or reset  i ve look into the issue and i m not the only one have it  why do they lose sync after a few hours? other than reset it on a hourly to daily basis its great ,
467,pete torley,2016-07-18,will not cast after 14 months why         ,
468,mikhae martin,2016-07-18,it mostly doesn t work,1.0
469,hugo cast,2016-07-18,need to keep reset my device  please fix ,1.0
470,jermol edwards,2016-07-18,how in the world can i not simply cast my phone screen to this device  i buy it because i m in a place without wifi and i think i can screen mirror my phone and use my datum to watch netflix  nope  so half the convience and eal be gone ,1.0
471,cod games anything,2016-07-18,win t let me cast to screen,1.0
472,a save,2016-07-18,i get google cast and it work for a month  i can cast from netflix cast from youtube and even cast my device screen on my tv  recently i update to marshmallow and although i can still cast from youtube i couldn t cast the screen of my device  3 star for partial functionality  google should fix this and come get the six star it deserves ,1.0
473,maquela goudy,2016-07-18,i love it,
474,lani hill,2016-07-17,have to restart,1.0
475,rishika dasari,2016-07-17,screen cast not work from nexus 9,1.0
476,svs jagan mohan rao,2016-07-17,great,
477,shane todd,2016-07-17,please fix!!! after the last update none of my device be discoverable! i have try reboot turn wifi on and off even reinstal the ! please help ,1.0
478,linda radford,2016-07-17,  win t work ,1.0
479,jose mejia,2016-07-17,buenisin my opinion,1.0
480,abbas torkashvand,2016-07-17,,
481,tanya stepanic,2016-07-17,not the least bit impressed with the fact that i cannot cast online content any longer  please change it back asap!,
482,laura hiner,2016-07-17,be great for a few months  now can t connect at all  be it a recent update that screwed it up?,1.0
483,aaron devine,2016-07-17,guy come on  this used to be the dog scrotum now it s the cat chocolate star  fix!!!!!!!!!,
484,frederick maxson,2016-07-17,work great close and far from wi fi  connect to any device with hdmi port  talk about device more than but be cool too!!,
485,lani hill,2016-07-17,chromecast work beautifully throughout my house as soon as i update to google cast it all stop working  when will this stop? we go from one perfect system to a supposedly better one and lose all the benefits  same thing when yahoo photo become flickr and don t get me start on window 10  i predict that in less than ten year all these s will be unworkable ,
486,a google user,2016-07-17,wont stay connectedperiod  now both old and new version be apeice of crap  tire google acting like its not their fault,1.0
487,klivier kaduc,2016-07-17,it s game change because it work with almost everything and cast about every medium platform you can think about  and if not you can mirror your screen ,
488,xavier chavarria,2016-07-17,upgrade ruin screen mirror,1.0
489,nathan santos diaz,2016-07-17,just buy some unknown brand stream device  probably a lot accessible  2 update since everybody s unable to cast online content still not fixed  say they look onto it but and yeah they just look onto it ,1.0
490,amel drake,2016-07-17,update break s ability to see my chromecast,1.0
491,daniel zayas,2016-07-16,way to break right as stranger thing be release on netflix ,
492,kevin b  bourne,2016-07-16,shows up as open wi fi !!!  keeps disconnecting!!!!!!!!!!!!!,
493,kyle steger,2016-07-16,most of the video don t fit the screen at all,
494,nigel kingston,2016-07-16,absolute rubbish ,
495,see pack,2016-07-16,it s very revolutionary  but hasn t yet to scratch the surface of what it can do ,
496,yorsman guatemala,2016-07-16,dumb,
497,venugopal nair,2016-07-16,very useful,
498,jewel grace sabidal,2016-07-16,we enjoy,
499,ben willis,2016-07-16,win t even recognise my wifi with correct password anymore  so bad i m think about crle tv which i can t afford,1.0
500,adisa udika,2016-07-16,user friendly increase entertainment,
501,superbaksh,2016-07-16,sometimes it cast but many of time it doesn t since this update! really piss me off!,1.0
502,jason huggins,2016-07-16,it just play the same mess my playstation and tv do can t play showbox or other thing i want a waste of 35 buck take it back,1.0
503,hari sharma,2016-07-16,last update make it useless,1.0
504,anshul singh,2016-07-16,pic castigate video from phone be horrible,1.0
505,alecea edwards,2016-07-16,sometimes it work sometimes it doesn t  it usually mess up during a good netflix or hbo now marathon  i will try a stream device to eliminate used my phone  mostly hate it customer service be horrible!,1.0
506,charles moffett,2016-07-16,google cast yes an awesome utility ! use it or loose it  get it or don t or get it and do! i would support those who do ,
507,morgan jones,2016-07-16,i seem to have to open re open close recast in the youtube to keep the queue connect with the chrome cast device need to be more reliable,1.0
508,johnathan wadhams,2016-07-16,i ve have two cast device for a couple of year now  never have an issue with them until it update to google cast  set up fail everytime  i have do everything from factory reset of my cast device router modem even go out and buy the 2nd gen chromecast still fail during set up  i have be unable to use my chromecast for months  you have person that have spend money on medium and can t watchlisten to it  it s ridiculous at this point ,1.0
509,carlos rosales,2016-07-16,when cast mobile doesn t work it take too much to disconnect signal ,1.0
510,daniel lee,2016-07-16,don t update it will stop working and do not buy if you haven t already  it do not do what it say and you can t use your phone to stream netflix or anything  about to go buy a ruku today   stay away from chrometrash ,
511,the line dance connection,2016-07-16,it s off the chain good and easy to install  thank,
512,mr jose alberto' lopez,2016-07-16,every single day,
513,hitesh kaushal,2016-07-16,i have a nexus 6 p and it cannot connect with chromecast even after call the support,
514,thomas markus,2016-07-15,everytime i even attempt to watch something  i get shower with pop up then it force quits  waste of space ,1.0
515,mike livia,2016-07-15,nice when it work but most of the time cause everything to crash  on a s6,
516,shevona reaves,2016-07-15,sporadic resolution,1.0
517,pierre kazmarck,2016-07-15,no workee anymore on lg g4 ,1.0
518,james ford,2016-07-15,highly recommended!,
519,l  u hi   u,2016-07-15,after 2years i confidential to say this one so great,
520,ace yang,2016-07-15,recently there s be a lot of issue cast youtube,
521,cheap goldtooth,2016-07-15,yea   only work like half the time  think i break it when i try to cast my nudeness in all it glory ,1.0
522,giovanni lazzari,2016-07-15,crap,
523,tim flanery,2016-07-15,but wish it be easier to connect to with other s  thank you,2.0
524,fabian alonzo,2016-07-15,work well,
525,shashwat kothari,2016-07-15,after ur update i can t cast screen on my chromecastgoogle always degrade it s s after update,
526,dinujose jose,2016-07-15,too difficult to connect,1.0
527,jim binnicker,2016-07-15,thnx ,
528,arnold rivera,2016-07-15,great,
529,charles policastro,2016-07-15,it keep disconnect when select isp and ask for me to resume reconnect  to vzw,
530,alle mol,2016-07-15,wonder how bad the first device was  everything about google cast be riddle with bug make it crash stop playing lose connection etc  i have yet to watch an entire movie without technical issues ,1.0
531,carol thomson duvall,2016-07-15,spotify no longer show google chromecast in the device list after recent update  work great before that,1.0
532,joel marroquin,2016-07-15,take like 2 month to connect to a device fix this problem,1.0
533,sarah parker,2016-07-15,will no longer cast used the old device resort to laptop for movie now as stare at the word netflix on my tv screen be get a tad dull ,
534,olivia vail,2016-07-15,love the ease of set up!,
535,andrew green,2016-07-15,chromecast audio  in between track the playback isn t gapless there be a small gapglitch in between track while used spotify   it s really annoying and a major deal ,
536,ashbr xd,2016-07-15,this doesn t even work i mean it work but then later on i put it it say let s set u up what up with that,
537,garret b,2016-07-15,used to be great  now i can t cast netflix and you tube or spotify from this device  please do something,
538,luis sainz,2016-07-15,so after the awful update why be it that none of my google cast s work with chromecast  to cast video and photo i need separate third party s  not cool and very frustrating  i used to recommend this to a lot of people  now i dont recommend it at all ,1.0
539,izzy hilario,2016-07-15,such a hard time connect with netflix to my first gen chromecast  both s update and still ,1.0
540,kawaiiash,2016-07-15,crash on my kyocera hydro icon,1.0
541,nckjacobs,2016-07-15,i continue to get an error 16001  netflix win t stream to my new chromecast  every other works ,1.0
542,darren staley,2016-07-15,i one star google for every piece of bloatware but this be a well deserve 5 stars  so cheap and there be so many uses  thank for this one ,
543,john ferns iv,2016-07-14,i find myself used this apt a lot! this make sharing thing easy and fun!,
544,me me,2016-07-14,initially when first install it work great  as of late i can no longer connect to pandora and it keep disconnect from netflix  please fix!,1.0
545,karina ontiveros,2016-07-14,don t have to buy special cable for the phone to watch movie from my phone and chromecast be affordable love to see my video or picture,
546,thomas sexton,2016-07-14,bur while the hell can i not mirror my device? its great for watch video but it will not allow me to access all of its features ,1.0
547,bobby gregory,2016-07-14,good move,
548,joan dela pena,2016-07-14,    i love it!  ,
549,angela mcgraw,2016-07-14,i juat get mine about a mo th ago and love it easy set up and working great,
550,simon farez,2016-07-14,reconnection,
551,mirage ann pablo,2016-07-14,i can t coonect it with sony bravia,
552,don pulubi,2016-07-14,                    ,
553,saleh arki,2016-07-14,i hate it   i waste my money and see its useless  it be connect for only 3 seconds  i wish this comment to be send to the vendor ,1.0
554,davey neasham,2016-07-14,nice  u0026amp  easy,
555,lash oneill,2016-07-14,awesome !!                                        ,
556,jordan busch,2016-07-14,stream only last a 30secound if i m lucky and it disconnect from the internet and reconect non stop,1.0
557,john wells,2016-07-14,put miracast support back in marshmallow!,1.0
558,jeff schmidt,2016-07-14,the basic cast never connect after setup google programmer s out of touch,
559,lori baysinger,2016-07-14,turn my tv into a smart tv  no problem at all ,
560,alex de la rosa,2016-07-14,this be one of the most frustrating google services  crash lag video playback be a hit or miss  need more update,1.0
561,julio franco,2016-07-14,keep disconnect often i have to reset almost every time i used as today 71416 officially dead i will switch to a better system to stream,1.0
562,"beaty, david",2016-07-14,pos hard to set up and then win t even cast google s own flag ship browser totally worthless!,1.0
563,rory o'farrell,2016-07-14,idiot proof   dead easy to setup  love it,
564,garry kaye,2016-07-14,why can t you have a minus rating so we can give a more accurate review  as useful as a chocolate tea pot  i can t believe you can t fix such a minor problem as connect 2 device together  i can connect to my other phone but not this device that have be specifically design to connect with each other  you would think that with the huge amount of money they make they can pay some school kid to fix this problem ,1.0
565,sheleria guice,2016-07-14,love,
566,donna bowles,2016-07-14,     ,
567,zahra nur,2016-07-14,i can t connect at all after the update,1.0
568,fabian persaud,2016-07-14,i cant even cast my screen,1.0
569,ashley hoover,2016-07-13,any time i want to watch netflix on my chrome cast i have to uninstall it and reinstall it each and every time  i will lose connection for some reason while i m watch a movie or show and then i have uninstall and reinstall over and over  i ve have this problem since about a month after i get the chrome cast and i get it in december 122515  ,1.0
570,lucero coronel,2016-07-13,it win t cast on my phone and its not even an iphone,1.0
