,Author,Date,body,Class
707,fahad qureshi,2016-07-27,best cloud storage ever             ,
708,salisu sharif,2016-07-27,good,
709,lorraine mabara,2016-07-27,a safe way of keep my pic,
710,christine gloria,2016-07-27,no access to gallery because stopped working after i close my account  two day later still no access to gallery  i hate  ,1.0
711,anirudh pawar,2016-07-27,improve upload speed,1.0
712,misstwixlovestaker,2016-07-27,it s nice to use  it s nothing bad about it  i get a few picture save up in mine but i really don t use it that often  i mostly use google photo to store my pictures  since i really don t use this   i m debate rather i should keep this or not ,
713,fran halbert,2016-07-27,flawless integration from desktop to laptop and phone  perfect ,
714,joseph p,2016-07-27,after update you make it very complicate to copyshare public link to folder unless email address be in phone s contact list please bring back the old method instead where you just click share and present an option to copy link,
715,jaydeepsingh valvi,2016-07-27,nice,
716,chris amanchukwu,2016-07-27,i used up the 2gb that where free supposedly  so i delete all the fille that where take up space but for some reason say that my account be still full and i need to upgrade,
717,shamiya jamal,2016-07-27,best privacy,
718,engr akintunde boluwaji,2016-07-27,very nice innovation easy to use but hard to download ,
719,rossy debnath,2016-07-27,love it,
720,jose castro,2016-07-27,best cloud aplication,1.0
721,veena jagdish,2016-07-27,good,
722,quinton lane,2016-07-27,i just start make map in survivalcraft and soon i will become a pro at it thank to !,
723,adeel kamboh,2016-07-27,it s very easy to use,
724,miguel conceicao,2016-07-27,why can t move to sd card would be nice otherwise good,
725,judy melrose,2016-07-27,pic,
726,sai narendra derangula sai,2016-07-27,i don t get any problem with this,
727,alice lee prophetess,2016-07-27,love it,
728,ken smith,2016-07-27,bye bye,
729,emilyn reeane estorninos,2016-07-27,so far it s nice i can have an extra 50gb for my other file and i dont have to worry about putt my stuff to nowhere  i can upload it without hassle of run out of gb s on my phone  nice!,
730,peter armitage,2016-07-27,be a top product ,
731,ankur satyarthi,2016-07-27,be an awesome,
732,sandeep mangalur,2016-07-27,p,2.0
733,tahreem jatoi,2016-07-27,drop box make me feel comfy easy to use anywhere we want to !!!!,
734,dwan gremillion,2016-07-27,i love to take picture and my phone and sd card be full so drop box be great for backup  i just don t like the fact they charge monthly after you get your free space  i wish it be a set price ,
735,margaret godsey,2016-07-27,i love this ! it has gotten much better over the years keep up the great work ! thanks developers!!    ,
736,nadim khan,2016-07-27,bcoz u permantely turn off camera upload for normal user  i dnt have any pc or i dnt need pro  pls get it bake for usthereafter i again give u 5star  u0026amp   1 also ,
737,sheldon cameron,2016-07-27,excellent,
738,ron gober,2016-07-27,i have be try to login for 3 day and it keep reject my login  it work fine on my other devive no login required  and captcha be design to drive you insane ,1.0
739,mag mann,2016-07-27,this be a must have so get her do,
740,roger brandt,2016-07-27,yes,
741,himalkhan opu,2016-07-27,good,
742,paula ferrell,2016-07-27,love it,
743,nelisiwe nelly,2016-07-27,love it,
744,don vogler,2016-07-27,cant uninstall it  keep come back like acne ,1.0
745,michael hooper,2016-07-27,keep it up,
746,aditya singh,2016-07-27,very good,
747,anyeg2010,2016-07-27,have be suck in the last month with shared link not working  hit or miss over the last month ,1.0
748,adam cleveland,2016-07-27,simple and easy,
749,david tomlin,2016-07-27,boxx,
750,johnny realuyo,2016-07-27,its like i be always used my pc at homefile anytime anywhere as i need it,
751,robert morris jr,2016-07-26,only thing that would make it better be more free space like google drive,
752,yohanes peraca wijaya,2016-07-26,after the last update this will force close if i want to use so i cant use this i m used oneplus one base on cyanogeno 12 1 1 laugh out loudipop 5 1 1 please fix it asap and i ll give you 5 star again  thanks ,1.0
753,michael haskell,2016-07-26,yea i know you can turn it off but it be still annoying,
754,bob gibbs,2016-07-26,i spend 20 minute set it up  it then stop working  this be worth nothing to me  i have disable it ,1.0
755,john barber,2016-07-26,sweet,
756,vicente gandara,2016-07-26,its very useful,
757,azad kalam,2016-07-26,it s really special ,
758,asif mammadov,2016-07-26,                                                                                                    ,
759,sushma mehta,2016-07-26,ook,
760,ilyas mansuri,2016-07-26,very good,
761,james hansen,2016-07-26,wat do it do other than wasting my battery,1.0
762,mohsen asadi,2016-07-26,,
763,phung quang ngoc,2016-07-26,great,
764,bart boryczko,2016-07-26,please post an actual change log  please inform us about what change you re make and what bug you be squashing ,1.0
765,vasu goyal,2016-07-26,bole toh ek dum jhakaas!!,
766,mohd farhan,2016-07-26,good and help full,
767,chad barnes,2016-07-26,i loath pre install s  i can t delete the one i don t use and they take up room on my phone storage  what make it worse be i can t update it do to insufficient space  u0026amp  it s recommend that i delete other s i actually want  u0026amp  use to make room for this one ,1.0
768,kevin wilke,2016-07-26,great site and free!,
769,pann thuu,2016-07-26,thuu,
770,cj mitchell,2016-07-26,have on my pc phone and tablet allow me to easily work on my file just about anywhere  i never worry about lose a thumb drive anymore  the tie in be really nice too  i only wish they have a less expensive paid plan so i can upload vacation photo and thing temporarily on top of the usual file i store ,
771,brandon haynes,2016-07-26,   life  it doesn t work ,
772,mark mcclenahan,2016-07-26,i hadnt used yet although have hear that it be a good thing,
773,dawn schumacher,2016-07-26,love have a safe place to store all of my photos ,
774,abhijeet baruah,2016-07-26,no need of memory card  no risk of datum loss ,1.0
775,mojtaba javid,2016-07-26,,
776,dharamendra singh,2016-07-26,good for everyone,
777,vimal babu,2016-07-26,best,
778,donna butler,2016-07-26,great,
779,manoj kumar,2016-07-26,m,
780,ahmad farhan,2016-07-26,nice,
781,niyibizi fidele,2016-07-26,niyibizi,
782,scayron,2016-07-26,wish they would add more free storage     ,2.0
783,peter cavagnol,2016-07-26,this be the best,
784,emmanuel andrew,2016-07-26,this the most fantastic and useful ever,
785,angela preikschas   flaathen,2016-07-26,useful love it,
786,thomas bernal,2016-07-26,uninstall ,1.0
787,dyon beaart,2016-07-26,used to like it have a paid subscription  they refuse to listen to their user to fix the huge privacy issue surround the recent tab  advice better not use this service anymore,1.0
788,debabrata shyam,2016-07-26,ideal storage,
789,sandeep jaiswal,2016-07-26,love it,
790,momin khan,2016-07-26,fabulous,
791,randhawa saab,2016-07-26,osm,
792,diane harvey,2016-07-26,drop box,
793,ferdinand nacapuy,2016-07-26,drop b,1.0
794,mr  pardeep gautam,2016-07-26,great,
795,omar rodgers khattab,2016-07-26,where artist excel ,
796,petteri m  kel  ,2016-07-26,so i stop update and eventually change the product ,1.0
797,jose merchan,2016-07-26,the best,
798,chima ogo,2016-07-26,great instruments ,
799,nick wagner,2016-07-26,awesome and secure cloud storage  compatible with virtually any program ,
800,erick west,2016-07-26,love that i be no longer fill with anxiety when someone ask to use my phone fear that they may hen upon a pic that be intend for private eyez only ,
801,leo allaire,2016-07-26,think of this lication,
802,ronald white,2016-07-26,user friendly,
803,hanafi ismail,2016-07-26,very helpfull ,
804,francisco vargas,2016-07-26,don t get it              ,
805,devansh attri,2016-07-26,                                                ,
806,uzma ishaq,2016-07-26,i need to increase my space,
807,carl dwyer,2016-07-26,i like how it work with so many other s on my phone,1.0
808,ali shojaee,2016-07-26,good    ,
809,abdi alaale,2016-07-26,abdi,
810,andre denson,2016-07-26,excellent choice,
811,abu imran,2016-07-26,love it ,
812,angela ward,2016-07-26,love that i can keep everything in one place  great !,
813,bas den braber,2016-07-26,latest update cause android process acore error,1.0
814,jasmeet kamoo,2016-07-26,it be good storage but the free storage 2gb be very low  so please increase the free storage  like 5gb,
815,mehron kugler,2016-07-26,have to syncexport file individually  no way to store folder offline  tedious process waste my time i see no use for this on mobile ,
816,joseph autor,2016-07-26,the most i trust most to keep connect over my very important file far across to country be,
817,misfe bahrain,2016-07-26,music,
818,wong kin chung,2016-07-26,kl,
819,ryan mayfield,2016-07-26,be easy to use especially when you have big files ,
820,srinivas ch,2016-07-26,exlent,
821,teresa bell,2016-07-26,just try to cancel ityou get bill  9 99,1.0
822,trina james,2016-07-26,love how u can get all your document and pic,
823,ahsan habib sunny,2016-07-26,tnx save my datum,
824,adam tarik parker bakalli,2016-07-26,thanksagain,
825,jakye hasan,2016-07-26,v80  0k,
826,kurt kochel,2016-07-26,lication,
827,abdulla bin hamad,2016-07-26,i cant see my all folder after the update it ,1.0
828,ogmodder mods in mcpe,2016-07-26,i love this it be a good for online download definitely best,
829,tana samuelu,2016-07-26,use it everyday for work ,
830,a google user,2016-07-26,this stay in memory all the time as a service even when i do not have photo uploading enabled ,1.0
831,mehboob punjani,2016-07-26,it would have be better if there be a password used to login when you have download on desktop  any one can excess if you left the computer loge on ,1.0
832,domnic s fernandes,2016-07-26,you must have it,
833,mialanie sanchez,2016-07-25,    ,
834,shakil ahamed,2016-07-25,thank,
835,ahmad alvin muttaqin,2016-07-25,if you like to work everywhere this be the best to support your working ,1.0
836,a google user,2016-07-25,it keep my file safe,
837,manny avetisyan,2016-07-25,camera upload now duplicate every picture with a 1 what s the deal?!,1.0
838,devin castro,2016-07-25,i have 2 accounts  i wish there be a way to switch between the two without have to log out and log in ,1.0
839,wray king,2016-07-25,love it,
840,e  junior r  a ,2016-07-25,amazing! !!!!!,
841,christopher fernandez,2016-07-25,it suck not even give you 3 gb of space and cot a lot of money,
842,a google user,2016-07-25,do exactly what it say thank you i need this,
843,wayne woodall,2016-07-25,great,
844,massa godbold,2016-07-25,i have all the stuff i never want to go in my,
845,dorte konz,2016-07-25,but it didn t work say my storage be full!!,
846,brant davids,2016-07-25,mr brant davidd,
847,nadim khan,2016-07-25,bcoz u permantely turn off camera upload for normal user  i dnt have any pc or i dnt need pro  pls get it bake for us,
848,hector gonzalez,2016-07-25,it s exactly what i be look for   it s amazing!!!,
849,billy ogi,2016-07-25,best,
850,patterson hassan matthews,2016-07-25,hey great for save your belonging which you can get anything you one ,2.0
851,sudha patil,2016-07-25,thr s sm problem in displayng f photo   ! i can t y th hning all over its nyc  !!,
852,max h,2016-07-25,this new version overly complicate sharing  you used to just share it by link but now sharing be like a side effect where you have to choose who to share to and it isn t clear how to just get the link  ,
853,ashley stone,2016-07-25,grea,
854,mrityunjay singh,2016-07-25,storage  plenty ,
855,prem kumar,2016-07-25,better than the best,
856,jeananne hill,2016-07-25,bad receptionst,
857,ramis tairoski,2016-07-25,everytime i uninstall this crap it keep re downloading  please just stop i dont want your cry program ,1.0
858,susan walker,2016-07-25,extra way to store important picture,
859,john ikiabo,2016-07-25,efficient and 75  accurate,
860,valantis rousmenis,2016-07-25,you don t even have 500 mb of free space and they tell you to pay to go to 1tb well google drive is way better than this     ,
861,usman aslam,2016-07-25,i like it because it s very easily use,
862,nandkumar ghatge,2016-07-25,paefect storeg,
863,monhtor altanzul,2016-07-25,sub,
864,game deity,2016-07-25,these update be pointless,1.0
865,yousuf ratul,2016-07-25,the document viewing feature in be the best give 5 star only for that though free storage be very less,
866,saimann aung,2016-07-25,good,
867,pankaj kapoor,2016-07-25,good,
868,wendy tayte gapare,2016-07-25,love it,
869,sara annabell,2016-07-25,activity,
870,anietie clement,2016-07-25,great,
871,karan karanwal,2016-07-25,need to upgrade,1.0
872,debbie gallpen,2016-07-25,im have fun learn how to use it,
873,skiflyer26,2016-07-25,great !,
874,wazeer jaseem,2016-07-25,very good,
875,suman sharma,2016-07-25,best,
876,chat y,2016-07-25,good,
877,aru gowdru,2016-07-25,nice one i love itt but sometimes it will delete edd it s really badd thingg,
878,usama ansari,2016-07-25,please improve it more storage,2.0
879,april cruz,2016-07-25,i depend on this for my back up file on orange diary   and now i lose my phone and cant restore the file again!! what hen please help me out and i will give five star,
880,rayken joe,2016-07-25,the more reliable and easier to used  more to friendly user ,
881,naveen goud,2016-07-25,love it,
882,tahamidul alam surjo,2016-07-25,give good service,
883,sutan hafidzuddin,2016-07-25,so easy for synchronize between pc and smartphone,
884,romaisa rehman,2016-07-25,it take too much time to load file,1.0
885,kamini jariwala,2016-07-25,good,
886,plesca voloh,2016-07-25,aiken,
887,art campbell,2016-07-25,will not delete  it be useless  u0026amp  i will never use it again,
888,nusara jiw,2016-07-25,good,
889,piyush parwani,2016-07-25,nice,
890,nathaniel yohe,2016-07-25,chad,
891,john dsouza,2016-07-25,john,
892,samantha torres,2016-07-25,                    ,
893,norma delaros,2016-07-25,drop box !!!,
894,mona lynn,2016-07-25,work great for me ,
895,gabrielle romine,2016-07-25,why win t it let me uninstall it?!!!!!! i no longer want it on my tablet !!!! help!!!!!,1.0
896,                       ,2016-07-25,,
897,brady phillips,2016-07-25,i have lose a bunch of picture a few year ago and they send me an email and i find them all here,1.0
898,helene e  schmidt,2016-07-25,keep book draft on let me work on multiple computer and always have the current version available ,
899,wendy pickral,2016-07-24,so easy to save file to ,
900,temogo bollen,2016-07-24,i can see old photo that i have lostit s a great,
901,lyn denning,2016-07-24,its great for peace of mind,
902,yousef hosiny,2016-07-24,,
903,alex rembisz,2016-07-24,1mil review hypeee,
904,puran mal nayak,2016-07-24,it be a good cloud ,1.0
905,zainudin haron,2016-07-24,very good for storage ,
906,elizabeth mcclaine,2016-07-24,good to save photos ,
907,himel tripura,2016-07-24,best ever,
908,dan ferrer,2016-07-24,i hate it,
909,h tenwon tiah,2016-07-24,my photo and document be safe and i can access them anytime with  ,
910,bonnie lyon,2016-07-24,peace of mind know you never have worry about loosee your pic ever again ,
911,franker_21,2016-07-24,it s a good   but it can improve ,
912,ossama ahbbane,2016-07-24,it s very good,
913,robert turner,2016-07-24,be used this for about 5 year and absolutely love it! well do guys!,
914,christine prince,2016-07-24,it work like its supposed to,
915,bhaskar gaikwad,2016-07-24,nice,
916,abdulrahman najjar,2016-07-24,booooo,
917,aditya pal,2016-07-24,the best ever,
918,federico guzman,2016-07-24,awesome,
919,brijesh supela,2016-07-24,sach batana nhi dikhana hai polkhol post 999  ,
920,daniel war,2016-07-24,very nice one,
921,neil heywood,2016-07-24,it s one of those s that i have come to rely on  i do what it promise to do with no fuss or irritating add one  what more can you ask?,
922,saif uddin,2016-07-24,i like it very much,
923,shyam jos,2016-07-24, 1 for the fingerprint support,
924,erin jones,2016-07-24,due to have a business account this functionality be not available  for the second time this have blow through my mo thly datum in minute when my wifi hiccups  disapointing,1.0
925,kennedy botipe,2016-07-24,it s work great,
926,jeff blond,2016-07-24,i never find anything better,
927,lee m kramer,2016-07-24,would not upload photo,1.0
928,stamo hristov,2016-07-24,the lack of concrete information in what s new stops me from updating  we need changelog for every versionvtoo ,
929,philip ritchey,2016-07-24,for an older version,
930,waseem tariq,2016-07-24,this be good,
931,susuana sy,2016-07-24,    ,
932,arundhati domale,2016-07-24,i use only educational information,2.0
933,richard balwane,2016-07-24,great  ,
934,raheel tahir,2016-07-24,excellent,
935,ann yeong,2016-07-24,dont like how im suppose to connect to a computer just to upload photo what the heck,1.0
936,venkat raman,2016-07-24,it be a very useful tool and the best way to keep your photo across platform,
937,sharon boves,2016-07-24,great,
938,a google user,2016-07-24,i love but it lack 2 key things  most importantly i need to be able to use an external storage source such as the sd card on my phone and an external hard drive on my pc since my file take up a lot of space  i have be a paid subscriber for year and this be my biggest complaint  i be constantly sacrifice other s to make space on my phone for my synced file while i have a nearly empty sd card  secondly why isn t the scan option available for android users?,
939,dr siva ramakrishna,2016-07-24,i have be user of since its inception in 2007 till now i never face any problem  i have it on my desktop laptop and mobile device it facilitate easy file share online back up it have better brand width management easy user interface i have earn 20 gb space freely by refer it to friend and camera uploads when compare with competitor it be at top notch in cloud storage and file sharing i highly recommend it to every one ,
940,haulier driver,2016-07-24,    ,
941,abubaker ahmed,2016-07-24,,
942,vijay sakariya,2016-07-24,good,
943,surendra tiwari,2016-07-24,                                                      ,
944,rampandu pasala,2016-07-24,i be unable to login after reinstal it in my new phone as it s show my email be not yet register still seriously sad on this,1.0
945,siddhanshu agarwal,2016-07-24,it be a very good as well as helpful facility with all the popular regularly used s,
946,inheritor marksman,2016-07-24,online storage be the best! especially for a phone with low storage,1.0
947,gideon okpiri,2016-07-24,it s a nice lication i have used it and it s commendable,
948,sonam gupta,2016-07-24,search champcash earn money on playstore and champcash install karne ke baad signup with champcash kare  please join our team refer sponsor id 2771832 and join me _earn rs  1 000  a day as part_timefull time job so don t waste your time install hurry up  after installation sign up karne k baad jab sponsor id maange to id 2771832 daal dena be se aap meri team me join ho ke and challenge complete karke 50 000 per month kma sakte hai   champcash id 2771832,
949,retha lubbe,2016-07-24,retired teacher,
950,ziad ya3goub,2016-07-24,,
951,bruno bitencourt,2016-07-24,good,
952,peter j henderson,2016-07-24,android to usb copy be block why? whose fault be it?,
953,vernon gamxamub,2016-07-24,user friendly,
954,nicholson m  kelly,2016-07-24,what s up with me not be able to delete my pix for more space?,
955,j  smith,2016-07-24,be great and do what i d expect  but arently the developer think he or she be too good to fill out the what s new change log box  it do require a lot of permission but consider how much the do it be understandable  if you be concerned use op xpose or cm privacy guard ,1.0
956,cemi jamal,2016-07-24,this be great,
957,elaine garcia,2016-07-24,love,
958,branimir tzvetanov,2016-07-24,best cloud storage,
959,crystal garcia,2016-07-24,easy to use and great storage space ,
960,richard smith,2016-07-23,remove from my phone keep come up with error message so i have to reinstallsuck my big toe,1.0
961,manojit paul,2016-07-23,pls reduce size,
962,muhammad hassankham mha22345678,2016-07-23,mahammad hassan khan,
963,hlutei chhakchhuak,2016-07-23,good,
964,idin rohidin,2016-07-23,thank a lot,
965,ui santu,2016-07-23,shohag,
966,bryan eggers,2016-07-23,very easy to use ,
967,jon adamson,2016-07-23,it be like have my office in every device where ever i am  allow me the ability to help client from anywhere ,
968,sayed lesner,2016-07-23,cool,
969,sheldon johnson,2016-07-23,i used this and it be great,
970,sr potato,2016-07-23,backup thing ever!!!!!,
971,maami e  tawiah,2016-07-23,i wish it s a movable that can go on my external drive ,2.0
972,thomas clarke,2016-07-23,don t really get this  ,
973,vikash kumar,2016-07-23,my phone be not saport s  and slowly working s ,1.0
974,angki soewardjo,2016-07-23,good,
975,debbie hall,2016-07-23,glad to see my old photo again,
976,hami nasseri,2016-07-23,,
977,bobby williams,2016-07-23,great tool,
978,ali asghar,2016-07-23,wonderful  thank to drop box,
979,esther ko,2016-07-23,very useful and spaceous,
980,deanna bradley,2016-07-23,if i uninstall it i can t look at the picture on my phone or sd card also be say it be sync all my photo but they be nowhere to be found ,1.0
981,fuad basalamah,2016-07-23,1  download aplikasi uber 2  register 3  buka menu promosi masukan kide 7764mu4uue dapatkan trip gratis senilai 50rb   bagikan kode pada keluarga dan teman,
982,jonel galvez,2016-07-23,its so cool its notsuck soo cool i give 1star,
983,brian bracy,2016-07-23,every time it tell me i need the latest then it take me to installed  reboot try 7 time same every time  not so functional ,1.0
984,agung aditya,2016-07-23, yolo,
985,thiruveedhula rajesh,2016-07-23,amazing,
986,saurav singh,2016-07-23,dear developer please tell where be offline file store in the device,1.0
987,hardik chaudhary,2016-07-23,i like it this function,1.0
988,lacreice petaera,2016-07-23,useful for work and home across any format ,
989,thea maristelle,2016-07-23,useful,
990,jerson macapanas,2016-07-23,this be great,
991,josua lilipory,2016-07-23,good s,
992,najmah mohamed lagardien,2016-07-23,i used this on my pc year ago before i have google photo and google drive etc  i install it on my phone to get access to the thousand of pic n docs i store back then  sadly i lose all my favourite video memory when my pc crash because wouldn t automatically store all my video like google pic do thus in my opinion not as efficient as google s,1.0
993,dillon pereira,2016-07-23,very useful!!,
994,roselynesorlennox  orbizo,2016-07-23,how to install this in storage if the space be still gb  be there still space to buy an accessory?,
995,jitendra mahale,2016-07-23,user friendly,
996,suresh itkal,2016-07-23,okay to use,
997,cameron cool,2016-07-23,i get a email from them say that they be go to close my account if i do not use it within 30 day so i used it a lot from that time and i just receive a email say it be closed  thank to i lose all my file that where priceless ,
998,khan faiza,2016-07-23,it s very useful to store memories !!    ,
999,kamalanathan sogathur,2016-07-23,love it  used to use it on windows  continue in android ,
1000,alfons septianus,2016-07-23,good s for share between my gadget,
1001,ananda baral,2016-07-23,good,
1002,andrea perceful,2016-07-23,it s very convenient and help s keep my stuff secure ,
1003,dorene stanley,2016-07-23,first face book account,
1004,greg de bruyn,2016-07-23,intrusive obstructive,
1005,julie thompson,2016-07-23,good,
1006,saeid norouzi,2016-07-23,very good,
1007,abdul qadir,2016-07-23,very useful for everyone  ,
1008,phil buonomo,2016-07-23,don t want it didn t ask for it used needed resource and can t uninstall it  one star for make me terminate it ,1.0
1009,war monger,2016-07-23,your new policy to stop auto update unless i pay for pro have cause me to downgrade your rating and look at other service or as u say just load them on my computer and uninstall  ,1.0
1010,robert mcneill,2016-07-23,i must be do something wrong  i cannot figure out how to use this and from what i e try its worthless  i need help  i have 500 photo on my galaxy phone and its take 2 hour to download 26 of them to   now i can t figure how to get them to my computer  i m so terribly frustrated!!,1.0
1011,maria byrne,2016-07-23,i m now be tell that i have no memory left ,
1012,varun aggarwal,2016-07-23,low storage atleast it should be 15 gb like in google drive ,
1013,veerpartap virk,2016-07-23,with all easy operation,
1014,robert muller,2016-07-23,well be ah well,
1015,pulkit sharma,2016-07-23,should improve further,
1016,shahram sean yousefi,2016-07-23,this be cloud at its best ,1.0
1017,benny  k sikauwe,2016-07-23,store information forever  i love it so much!,
1018,juliet enterina,2016-07-23,i like this s long time i m using until it s workingthe file never lost and safe whenever u want to used  still there    ,
1019,shabbeer khan,2016-07-23,khan,
1020,paul thompson,2016-07-23,must have,
1021,rosemary dominguez,2016-07-23,i don t believe that the storage should be so expensive guess i m go to have to find another free one,
1022,emilio diaz,2016-07-23,the best,
1023,deepesh barthwal,2016-07-23,very nice,
1024,aye thu,2016-07-23,12345,
1025,sourav barman,2016-07-23,very helpful,
1026,angela macgregor,2016-07-23,good to have   keep your pic  u0026amp  file in order  ,
1027,san tye,2016-07-23,yes,
1028,jesse kowalczyk,2016-07-23,i have used for year love it and the   except,
1029,ray burns,2016-07-23,used for year and still love it i just wish they would introduce a cheaper pricing tier for say 100gb like google drive and onedrive have ,
1030,vinod kadam,2016-07-23,nice,
1031,jennifer cruz,2016-07-23,these s just install themselves onto my phone i uninstall them and they come right back i can t get rid of them and they take up so much memory in my phone i can t install the s that i actually want and use ,1.0
1032,mani mani,2016-07-23,useful much,
1033,g  zim selmani,2016-07-23,i love this it s so usefull and i can store lot of stuff there!,
1034,tefera demissie,2016-07-23,i think it be fast  u0026amp  sexy storage service for online usage ,
1035,disha joshi,2016-07-23,awesome,
1036,arie kusuma atmaja,2016-07-23,i love it!,
1037,limon mamun,2016-07-23,limu,
1038,dalia hamed,2016-07-23,can t uninstall,1.0
1039,haruna alhassan,2016-07-23,very helpful,
1040,jeremy mckay,2016-07-23,ghy,
1041,sun sun,2016-07-23,i like it,
1042,hassan jibr,2016-07-23,aynwhereor ayntime,
1043,rahul sharma,2016-07-23,just love this   perfect and secure backup of my image just as i need them  well done!,
1044,rohan raj,2016-07-23,not good try other like stoamigo,1.0
1045,fahad ali,2016-07-22,i love it becoz of atore the memory and not fear of lose,
1046,shaan justin,2016-07-22,needed ,
1047,mb atkinson,2016-07-22,terrific!!!,
1048,md idris,2016-07-22,very nice,
1049,a google user,2016-07-22,relatively easy to usei think it s pretty intuitive  awesome backup tool ,
1050,john pol suniga,2016-07-22,very nice  ,
1051,anal_butt _rape,2016-07-22,kys,
1052,muhammad zubair,2016-07-22,,
1053,nigel flamer,2016-07-22,,
1054,shauna bradley,2016-07-22,aside from the slowest upload in history since the marshmallow update i keep get a cloudagent error and nothing i change in the setting make it go away  annoying!,1.0
1055,mary dunn,2016-07-22,use this consistently,
1056,addy william,2016-07-22,it work,
1057,teresa stonebridge,2016-07-22,do not work on samsung,
1058,randy casteel,2016-07-22,i use it for all my important paper and music file here ,
1059,laresa grimwood,2016-07-22,i use this with my john emulator and work wonderfully!!,
1060,ronda daniel,2016-07-22,useful i like it easy to use,
1061,doramoon koone,2016-07-22,good,
1062,jonessacamille da  o,2016-07-22,xcd,
1063,banyar nay htike aung,2016-07-22,good service,
1064,mahendar r mahendar,2016-07-22,it be a very usefull lication,
1065,richard garnett,2016-07-22,very poor can t even have access,1.0
1066,mike wong,2016-07-22,so far so good keep up great!,
1067,a google user,2016-07-22,great and great service at the moment i m torn between and box as box have more space but be just a better service,
1068,dynali sanchez,2016-07-22,i hate it,
1069,caveman mubrek,2016-07-22,i can t live without this,
1070,eleazar abarquez,2016-07-22,i love it,
1071,jaison tafadzwa machaya,2016-07-22,good,
1072,sureshwarnath sharma,2016-07-22,very useful ,
1073,shanwaj s,2016-07-22,,
1074,karan patel,2016-07-22,i win t to backup screen short  jpeg file so i request to improve,
1075,mohammadi turabbhai,2016-07-22,mohammadi,
1076,b2m it,2016-07-22,lovely and useful lication  that s to  ,
1077,tushar jassi,2016-07-22,please add a feature to exclude folder because in camera upload the image which i download also get upload which make my camera upload folder in a mess and i have to delete those pic individually ,1.0
1078,craig dail,2016-07-22,tired of updates!!!,
1079,niranjan korde,2016-07-22,be the easy place to drop everything except your clothes!,
1080,sachu retha,2016-07-22,okkk,
1081,mohd assuad ja'afar,2016-07-22,very good s,
1082,karl leung,2016-07-22,download mcpe and find brace waterpark at !!!!! d,
1083,mohammad yasir munir,2016-07-22,need to add multiple account option ,2.0
1084,farhan basalamah,2016-07-22,hope be long live and user can get more space to save all the memory until we re be grand pa n grand ma  ,
1085,wolfdroid gt,2016-07-22,why cant we just delete fk dis thing,
1086,noor bhai,2016-07-22,thank you         ,
1087,arun m murali,2016-07-22,nic,
1088,maurice mutuma,2016-07-22,very nice,
1089,rakesh kumar,2016-07-22,very gooc,
1090,freddie levirie,2016-07-22,olryt!!!!,
1091,surya kiran,2016-07-22,i m try to reset password but pross be not work with link totally fullish,1.0
1092,rakhee dugar,2016-07-22,can t live without it,
1093,patricia louderback,2016-07-22,keep pic safe,
1094,mahdi mohammadi,2016-07-22,not bad,
1095,pinkjamaa,2016-07-22,ok this be so so usefull i can download any file and place them here and they easily get transferd to my gallery note and drive thank u,
1096,amie long,2016-07-22,o,
1097,ben stucker,2016-07-22,awesome way to send large group of picture at once ,
1098,sudhansu sahu,2016-07-22,very useful,
1099,uzma khan,2016-07-22,up,
1100,angela gallagher,2016-07-22,video and more,
1101,moe set,2016-07-22,good,
1102,yaman khan,2016-07-22,                 ,
1103,ray mayginnes,2016-07-22,ver 6 4 14,
1104,junaid shaikh,2016-07-22,nice job and then we have any attachment be a bit,
1105,alok prakash,2016-07-22,e very body must have,
1106,                                                             ,2016-07-22,no word for how good it is ,
1107,sonakshi verma,2016-07-22,search champcash earn money on playstore and champcash install karne ke baad signup with champcash kare  please join our team refer sponsor id 2771832 and join me _earn rs  1 000  a day as part_timefull time job so don t waste your time install hurry up  after installation sign up karne k baad jab sponsor id maange to id 2771832 daal dena be se aap meri team me join ho ke and challenge complete karke 50 000 per month kma sakte hai   champcash id 2771832,
1108,jack olson,2016-07-22,that a whole lot of folk who seem to like this form of storage better make that 500 million   1 we ll see if all these folk get it right  i m in for now,
1109,gajanan wayal,2016-07-22,awesome,
1110,suehay romero,2016-07-22, x  ,1.0
1111,mustafa elanany,2016-07-22,this be legendary  it give you so much storage  i definitely give it 5 star or more if i can ,
1112,gago ko ya 21,2016-07-22,little space and not get many thing,
1113,ryan dubeau,2016-07-22,great,
1114,narendra kale,2016-07-22,nice lication,
1115,noor faizah omar,2016-07-22,good,
1116,dian tinambunan,2016-07-22,easy to save  u0026amp  share,
1117,maryum khan,2016-07-22,love,
1118,yanh phetsomphou,2016-07-22,very useful,
1119,athar ahemad,2016-07-22,besan,
1120,teodor p  marti,2016-07-22,cloud storage for a reasonable price ,
1121,a google user,2016-07-22,one star less because i miss a dark theme for oled screen!,2.0
1122,braydon adams,2016-07-22,i be look at my and relieze that all of my camera upload be go,1.0
1123,sudaim computers,2016-07-22,nice i like so much solution of many problem,
1124,ian j watson,2016-07-21,need to find out what the difference be between this and google drive ,
1125,abdul khalik,2016-07-21,nice,
1126,hassanein amhaz,2016-07-21,perfect,
1127,robert day,2016-07-21,i jump through hoop to get download space spending considerable time to set thing up just the way want them  then less than a month later retract all the extra space i have earn  ,
1128,dawn rose,2016-07-21,love this,
1129,kemese v,2016-07-21,easy,
